flight_id,flight_number,origin,destination,origin_city,destination_city,origin_airport,destination_airport,depart_date,depart_time,arrive_time,duration_hrs,duration_mins,cabin,fare_class,base_fare,seats_available
FL00024,UK508,FRA,AUH,Frankfurt,Abu Dhabi,Frankfurt Intl,Abu Dhabi Intl,2026-07-06,10:45,18:15,7,30,Economy,Y,11854,33
FL00025,6E652,BLR,CCU,Bangalore,Kolkata,Kempegowda Intl,Netaji Subhas Intl,2026-03-24,17:45,20:45,3,0,Business,J,55696,111
FL00026,SG253,AUH,SYD,Abu Dhabi,Sydney,Abu Dhabi Intl,Kingsford Smith,2026-04-03,19:00,20:45,1,45,First,F,91132,27
FL00027,G8345,SYD,PNQ,Sydney,Pune,Kingsford Smith,Pune Intl,2026-08-07,19:15,21:00,1,45,Economy,Y,13450,117
FL00028,JA315,DAC,PEK,Dhaka,Beijing,Hazrat Shahjalal Intl,Beijing Capital,2026-05-20,15:45,02:45,11,0,First,F,184835,125
FL00029,AI716,NRT,CCU,Tokyo,Kolkata,Narita Intl,Netaji Subhas Intl,2026-04-02,13:45,16:15,2,30,Business,J,61925,135
FL00030,G8973,BOM,KUL,Mumbai,Kuala Lumpur,Chhatrapati Shivaji Intl,KLIA,2026-08-03,02:30,10:00,7,30,Economy,Y,12062,24
FL00031,UK814,BLR,AMD,Bangalore,Ahmedabad,Kempegowda Intl,Sardar Vallabhbhai Patel Intl,2026-04-12,08:00,15:45,7,45,First,F,175085,76
FL00032,9W286,SYD,DOH,Sydney,Doha,Kingsford Smith,Hamad Intl,2026-05-30,06:00,19:15,13,15,Premium Economy,W,23092,34
FL00033,JA390,AUH,NYC,Abu Dhabi,New York,Abu Dhabi Intl,John F Kennedy Intl,2026-08-11,08:45,23:15,14,30,First,F,166722,78
FL00034,6E502,AMD,KUL,Ahmedabad,Kuala Lumpur,Sardar Vallabhbhai Patel Intl,KLIA,2026-06-08,10:15,17:15,7,0,Premium Economy,W,23852,121
FL00035,AI720,AMD,BLR,Ahmedabad,Bangalore,Sardar Vallabhbhai Patel Intl,Kempegowda Intl,2026-08-14,23:45,02:45,3,0,First,F,145611,85
FL00036,AI261,BLR,HYD,Bangalore,Hyderabad,Kempegowda Intl,Rajiv Gandhi Intl,2026-06-12,05:45,09:45,4,0,Premium Economy,W,33606,132
FL00037,JA775,SIN,CMB,Singapore,Colombo,Changi,Bandaranaike Intl,2026-06-16,23:00,11:00,12,0,Premium Economy,W,20530,34
FL00038,6E540,PEK,DXB,Beijing,Dubai,Beijing Capital,Dubai Intl,2026-07-15,07:15,16:15,9,0,Premium Economy,W,21006,20
FL00039,6E598,BKK,CMB,Bangkok,Colombo,Suvarnabhumi,Bandaranaike Intl,2026-05-23,07:15,14:30,7,15,Economy,Y,9587,122
FL00040,G8369,HKG,COK,Hong Kong,Kochi,Hong Kong Intl,Cochin Intl,2026-07-08,06:45,15:00,8,15,Premium Economy,W,19285,132
FL00041,6E428,FRA,KUL,Frankfurt,Kuala Lumpur,Frankfurt Intl,KLIA,2026-04-15,00:00,09:00,9,0,Premium Economy,W,19186,125
FL00042,G8945,YYZ,BOM,Toronto,Mumbai,Toronto Pearson,Chhatrapati Shivaji Intl,2026-04-11,05:15,19:00,13,45,Economy,Y,13154,11
FL00043,SG938,LHR,AMD,London,Ahmedabad,Heathrow,Sardar Vallabhbhai Patel Intl,2026-07-21,15:00,05:30,14,30,First,F,172440,4
FL00044,6E369,PNQ,CCU,Pune,Kolkata,Pune Intl,Netaji Subhas Intl,2026-07-05,04:30,06:00,1,30,First,F,178269,15
FL00045,JA232,DAC,BOM,Dhaka,Mumbai,Hazrat Shahjalal Intl,Chhatrapati Shivaji Intl,2026-05-31,23:15,00:45,1,30,Economy,Y,14120,74
FL00046,JA923,BKK,CCU,Bangkok,Kolkata,Suvarnabhumi,Netaji Subhas Intl,2026-07-04,07:00,17:45,10,45,First,F,164411,127
FL00047,AI597,ICN,COK,Seoul,Kochi,Incheon Intl,Cochin Intl,2026-06-07,13:15,15:30,2,15,Economy,Y,4280,86
FL00048,9W193,MAA,HKG,Chennai,Hong Kong,Chennai Intl,Hong Kong Intl,2026-07-28,20:00,23:15,3,15,Economy,Y,13143,96
FL00049,6E314,MAA,HKG,Chennai,Hong Kong,Chennai Intl,Hong Kong Intl,2026-04-19,11:30,00:30,13,0,Business,J,60150,69
FL00050,SG295,DOH,HKG,Doha,Hong Kong,Hamad Intl,Hong Kong Intl,2026-07-19,04:00,14:45,10,45,Premium Economy,W,18409,52
FL00051,6E552,GOI,DEL,Goa,New Delhi,Goa Intl,Indira Gandhi Intl,2026-06-14,12:30,02:45,14,15,Economy,Y,8313,126
FL00052,9W326,CCU,ICN,Kolkata,Seoul,Netaji Subhas Intl,Incheon Intl,2026-03-26,15:15,04:00,12,45,Economy,Y,7918,19
FL00053,UK204,DAC,NRT,Dhaka,Tokyo,Hazrat Shahjalal Intl,Narita Intl,2026-06-09,22:15,00:15,2,0,Premium Economy,W,20437,92
FL00054,AI527,COK,DXB,Kochi,Dubai,Cochin Intl,Dubai Intl,2026-05-09,10:15,15:15,5,0,Premium Economy,W,24449,11
FL00055,9W846,SYD,CMB,Sydney,Colombo,Kingsford Smith,Bandaranaike Intl,2026-04-03,06:15,13:30,7,15,Economy,Y,9103,92
FL00056,9W482,BOM,NRT,Mumbai,Tokyo,Chhatrapati Shivaji Intl,Narita Intl,2026-05-15,06:30,15:30,9,0,Business,J,56234,126
FL00057,AI981,YYZ,ICN,Toronto,Seoul,Toronto Pearson,Incheon Intl,2026-07-12,10:00,15:45,5,45,Economy,Y,6564,149
FL00058,SG744,KUL,JNB,Kuala Lumpur,Johannesburg,KLIA,OR Tambo Intl,2026-04-04,12:15,18:30,6,15,First,F,136639,74
FL00059,SG837,CCU,BLR,Kolkata,Bangalore,Netaji Subhas Intl,Kempegowda Intl,2026-04-20,23:00,05:00,6,0,Economy,Y,8854,123
FL00060,SG607,DXB,BKK,Dubai,Bangkok,Dubai Intl,Suvarnabhumi,2026-07-02,17:15,01:15,8,0,Business,J,43997,39
FL00061,UK762,DXB,DEL,Dubai,New Delhi,Dubai Intl,Indira Gandhi Intl,2026-06-13,02:00,09:45,7,45,Premium Economy,W,32093,38
FL00062,UK254,JNB,BOM,Johannesburg,Mumbai,OR Tambo Intl,Chhatrapati Shivaji Intl,2026-03-04,06:15,09:15,3,0,Business,J,43272,33
FL00063,AI283,FRA,SYD,Frankfurt,Sydney,Frankfurt Intl,Kingsford Smith,2026-02-26,21:30,11:45,14,15,Business,J,37474,139
FL00064,G8924,PNQ,HKG,Pune,Hong Kong,Pune Intl,Hong Kong Intl,2026-07-26,21:00,09:45,12,45,First,F,116927,62
FL00065,6E693,AUH,CCU,Abu Dhabi,Kolkata,Abu Dhabi Intl,Netaji Subhas Intl,2026-06-01,06:00,18:30,12,30,Economy,Y,10670,81
FL00066,6E108,BLR,CCU,Bangalore,Kolkata,Kempegowda Intl,Netaji Subhas Intl,2026-05-17,03:15,17:15,14,0,First,F,118368,100
FL00067,UK666,YYZ,DAC,Toronto,Dhaka,Toronto Pearson,Hazrat Shahjalal Intl,2026-06-02,23:45,08:45,9,0,First,F,105239,44
FL00068,9W597,YYZ,FRA,Toronto,Frankfurt,Toronto Pearson,Frankfurt Intl,2026-06-28,04:30,06:00,1,30,Economy,Y,12421,138
FL00069,UK723,AUH,NRT,Abu Dhabi,Tokyo,Abu Dhabi Intl,Narita Intl,2026-08-06,20:00,00:15,4,15,Premium Economy,W,33245,16
FL00070,JA530,NRT,HKG,Tokyo,Hong Kong,Narita Intl,Hong Kong Intl,2026-04-07,22:00,05:00,7,0,First,F,183811,101
FL00071,UK486,FRA,DEL,Frankfurt,New Delhi,Frankfurt Intl,Indira Gandhi Intl,2026-08-18,20:45,04:00,7,15,First,F,137828,108
FL00072,9W626,GOI,CCU,Goa,Kolkata,Goa Intl,Netaji Subhas Intl,2026-05-03,12:30,14:30,2,0,Economy,Y,4802,107
FL00073,JA256,AUH,BOM,Abu Dhabi,Mumbai,Abu Dhabi Intl,Chhatrapati Shivaji Intl,2026-04-13,09:45,11:30,1,45,Premium Economy,W,22048,125
FL00074,UK125,JNB,BKK,Johannesburg,Bangkok,OR Tambo Intl,Suvarnabhumi,2026-05-26,18:45,03:45,9,0,Premium Economy,W,15331,137
FL00075,6E266,BKK,PEK,Bangkok,Beijing,Suvarnabhumi,Beijing Capital,2026-03-16,11:45,00:45,13,0,First,F,174822,137
FL00076,UK109,AUH,KTM,Abu Dhabi,Kathmandu,Abu Dhabi Intl,Tribhuvan Intl,2026-07-25,13:00,01:45,12,45,Economy,Y,10730,6
FL00077,9W216,YYZ,DEL,Toronto,New Delhi,Toronto Pearson,Indira Gandhi Intl,2026-05-11,00:00,02:30,2,30,Business,J,78007,31
FL00078,G8928,CDG,AMD,Paris,Ahmedabad,Charles de Gaulle,Sardar Vallabhbhai Patel Intl,2026-08-14,12:15,18:45,6,30,First,F,163488,21
FL00079,AI623,PNQ,HKG,Pune,Hong Kong,Pune Intl,Hong Kong Intl,2026-05-22,02:00,11:00,9,0,Premium Economy,W,28607,147
FL00080,6E230,GOI,DAC,Goa,Dhaka,Goa Intl,Hazrat Shahjalal Intl,2026-05-11,20:15,04:45,8,30,First,F,91892,55
FL00081,UK622,SIN,NYC,Singapore,New York,Changi,John F Kennedy Intl,2026-05-18,10:30,21:45,11,15,Premium Economy,W,26497,117
FL00082,SG135,CDG,FRA,Paris,Frankfurt,Charles de Gaulle,Frankfurt Intl,2026-08-02,12:30,01:45,13,15,Premium Economy,W,20942,139
FL00083,9W426,DEL,KTM,New Delhi,Kathmandu,Indira Gandhi Intl,Tribhuvan Intl,2026-06-22,21:00,08:15,11,15,Business,J,66661,147
FL00084,JA760,ICN,JNB,Seoul,Johannesburg,Incheon Intl,OR Tambo Intl,2026-04-24,10:30,17:45,7,15,Premium Economy,W,20126,117
FL00085,AI882,SIN,JNB,Singapore,Johannesburg,Changi,OR Tambo Intl,2026-07-18,23:30,09:45,10,15,Economy,Y,10814,108
FL00086,G8842,SYD,YYZ,Sydney,Toronto,Kingsford Smith,Toronto Pearson,2026-08-07,07:15,15:30,8,15,Business,J,50524,105
FL00087,AI977,CMB,SYD,Colombo,Sydney,Bandaranaike Intl,Kingsford Smith,2026-05-01,16:45,04:00,11,15,Business,J,69504,85
FL00088,AI424,YYZ,DOH,Toronto,Doha,Toronto Pearson,Hamad Intl,2026-07-24,23:00,11:00,12,0,Premium Economy,W,33449,95
FL00089,JA888,YYZ,DOH,Toronto,Doha,Toronto Pearson,Hamad Intl,2026-07-28,03:30,11:45,8,15,Business,J,57560,35
FL00090,G8181,BKK,HYD,Bangkok,Hyderabad,Suvarnabhumi,Rajiv Gandhi Intl,2026-03-12,19:30,21:15,1,45,Premium Economy,W,23110,61
FL00091,AI434,PNQ,GOI,Pune,Goa,Pune Intl,Goa Intl,2026-05-20,12:45,00:30,11,45,Premium Economy,W,21354,92
FL00092,6E445,CDG,BOM,Paris,Mumbai,Charles de Gaulle,Chhatrapati Shivaji Intl,2026-04-14,14:30,23:30,9,0,First,F,172955,43
FL00093,9W626,CMB,SIN,Colombo,Singapore,Bandaranaike Intl,Changi,2026-06-05,08:15,15:30,7,15,Business,J,79396,87
FL00094,UK990,DEL,FRA,New Delhi,Frankfurt,Indira Gandhi Intl,Frankfurt Intl,2026-03-10,03:45,09:00,5,15,First,F,151944,101
FL00095,AI210,ICN,BLR,Seoul,Bangalore,Incheon Intl,Kempegowda Intl,2026-08-09,14:00,03:45,13,45,Business,J,80108,41
FL00096,JA988,CCU,MAA,Kolkata,Chennai,Netaji Subhas Intl,Chennai Intl,2026-03-15,20:15,08:15,12,0,First,F,104285,105
FL00097,6E306,MAA,NYC,Chennai,New York,Chennai Intl,John F Kennedy Intl,2026-07-17,06:00,07:15,1,15,Economy,Y,13518,46
FL00098,SG874,FRA,JNB,Frankfurt,Johannesburg,Frankfurt Intl,OR Tambo Intl,2026-03-04,10:30,20:45,10,15,First,F,185704,55
FL00099,G8313,CCU,NYC,Kolkata,New York,Netaji Subhas Intl,John F Kennedy Intl,2026-08-14,04:00,09:15,5,15,Premium Economy,W,18558,10
FL00100,6E748,DEL,MAA,New Delhi,Chennai,Indira Gandhi Intl,Chennai Intl,2026-07-25,12:30,16:30,4,0,Economy,Y,14152,17
FL00101,JA437,HKG,CDG,Hong Kong,Paris,Hong Kong Intl,Charles de Gaulle,2026-07-05,23:45,05:30,5,45,Premium Economy,W,24918,133
FL00102,9W850,GOI,AMD,Goa,Ahmedabad,Goa Intl,Sardar Vallabhbhai Patel Intl,2026-04-25,14:30,17:15,2,45,Business,J,65651,29
FL00103,UK430,HYD,DOH,Hyderabad,Doha,Rajiv Gandhi Intl,Hamad Intl,2026-02-26,12:15,16:15,4,0,First,F,195395,100
FL00104,9W181,HYD,MAA,Hyderabad,Chennai,Rajiv Gandhi Intl,Chennai Intl,2026-05-04,16:15,05:45,13,30,Business,J,76925,37
FL00105,SG474,GOI,CCU,Goa,Kolkata,Goa Intl,Netaji Subhas Intl,2026-03-28,14:30,21:45,7,15,Economy,Y,14267,16
FL00106,AI920,PEK,KTM,Beijing,Kathmandu,Beijing Capital,Tribhuvan Intl,2026-03-06,18:30,00:45,6,15,Business,J,81555,77
FL00107,SG468,BKK,DXB,Bangkok,Dubai,Suvarnabhumi,Dubai Intl,2026-03-11,21:45,08:00,10,15,Economy,Y,6017,27
FL00108,G8223,DOH,DAC,Doha,Dhaka,Hamad Intl,Hazrat Shahjalal Intl,2026-03-15,23:15,11:45,12,30,Economy,Y,10239,71
FL00109,G8813,PNQ,CMB,Pune,Colombo,Pune Intl,Bandaranaike Intl,2026-06-17,09:00,16:30,7,30,First,F,170912,50
FL00110,9W601,KUL,HKG,Kuala Lumpur,Hong Kong,KLIA,Hong Kong Intl,2026-05-12,19:00,03:30,8,30,Economy,Y,13960,63
FL00111,G8382,FRA,PNQ,Frankfurt,Pune,Frankfurt Intl,Pune Intl,2026-05-09,00:30,05:00,4,30,Premium Economy,W,24497,86
FL00112,UK773,YYZ,BKK,Toronto,Bangkok,Toronto Pearson,Suvarnabhumi,2026-05-03,20:30,04:15,7,45,First,F,99614,38
FL00113,UK217,SYD,MAA,Sydney,Chennai,Kingsford Smith,Chennai Intl,2026-06-28,05:15,15:15,10,0,Economy,Y,5702,97
FL00114,G8868,GOI,DEL,Goa,New Delhi,Goa Intl,Indira Gandhi Intl,2026-04-18,10:45,18:00,7,15,Business,J,40582,87
FL00115,9W689,COK,PNQ,Kochi,Pune,Cochin Intl,Pune Intl,2026-04-19,11:30,18:00,6,30,First,F,176546,64
FL00116,G8809,FRA,MAA,Frankfurt,Chennai,Frankfurt Intl,Chennai Intl,2026-03-24,09:30,11:00,1,30,Premium Economy,W,26708,131
FL00117,SG499,CMB,PNQ,Colombo,Pune,Bandaranaike Intl,Pune Intl,2026-03-17,12:15,02:30,14,15,First,F,176931,134
FL00118,G8673,KUL,ICN,Kuala Lumpur,Seoul,KLIA,Incheon Intl,2026-06-17,16:30,18:30,2,0,Premium Economy,W,23581,14
FL00119,UK995,LHR,HKG,London,Hong Kong,Heathrow,Hong Kong Intl,2026-06-01,16:15,22:30,6,15,Economy,Y,12481,76
FL00120,AI317,KUL,CMB,Kuala Lumpur,Colombo,KLIA,Bandaranaike Intl,2026-03-05,04:00,06:15,2,15,Economy,Y,3514,91
FL00121,9W287,FRA,LHR,Frankfurt,London,Frankfurt Intl,Heathrow,2026-06-20,07:00,11:15,4,15,Economy,Y,6771,6
FL00122,JA180,DEL,AMD,New Delhi,Ahmedabad,Indira Gandhi Intl,Sardar Vallabhbhai Patel Intl,2026-05-25,21:30,00:30,3,0,First,F,121330,140
FL00123,AI295,CDG,BLR,Paris,Bangalore,Charles de Gaulle,Kempegowda Intl,2026-03-22,07:00,15:45,8,45,First,F,189973,129
FL00124,UK139,LHR,SYD,London,Sydney,Heathrow,Kingsford Smith,2026-03-01,13:45,15:00,1,15,First,F,102575,89
FL00125,UK486,CCU,SIN,Kolkata,Singapore,Netaji Subhas Intl,Changi,2026-04-11,23:15,05:15,6,0,Economy,Y,10833,74
FL00126,JA378,CDG,GOI,Paris,Goa,Charles de Gaulle,Goa Intl,2026-06-20,07:30,18:00,10,30,Premium Economy,W,33226,13
FL00127,SG964,PNQ,NYC,Pune,New York,Pune Intl,John F Kennedy Intl,2026-03-10,09:30,19:00,9,30,Business,J,49860,51
FL00128,UK144,AUH,SYD,Abu Dhabi,Sydney,Abu Dhabi Intl,Kingsford Smith,2026-06-23,09:45,11:00,1,15,First,F,104759,82
FL00129,9W242,JNB,SIN,Johannesburg,Singapore,OR Tambo Intl,Changi,2026-05-19,08:30,23:15,14,45,Economy,Y,11302,6
FL00130,UK744,SIN,GOI,Singapore,Goa,Changi,Goa Intl,2026-03-05,06:15,14:45,8,30,Business,J,66381,12
FL00131,AI104,LHR,PEK,London,Beijing,Heathrow,Beijing Capital,2026-04-15,04:30,09:15,4,45,Premium Economy,W,19457,109
FL00132,9W285,BOM,GOI,Mumbai,Goa,Chhatrapati Shivaji Intl,Goa Intl,2026-04-20,01:30,06:45,5,15,Premium Economy,W,22705,90
FL00133,G8841,YYZ,BLR,Toronto,Bangalore,Toronto Pearson,Kempegowda Intl,2026-06-21,22:15,05:00,6,45,Business,J,62804,50
FL00134,9W105,BLR,CDG,Bangalore,Paris,Kempegowda Intl,Charles de Gaulle,2026-03-03,13:45,17:30,3,45,First,F,188961,74
FL00135,9W933,JNB,BKK,Johannesburg,Bangkok,OR Tambo Intl,Suvarnabhumi,2026-08-14,02:15,05:15,3,0,Premium Economy,W,18955,19
FL00136,9W857,DEL,KTM,New Delhi,Kathmandu,Indira Gandhi Intl,Tribhuvan Intl,2026-03-13,01:15,10:15,9,0,Premium Economy,W,20537,76
FL00137,9W164,BOM,JNB,Mumbai,Johannesburg,Chhatrapati Shivaji Intl,OR Tambo Intl,2026-08-16,19:00,20:45,1,45,Economy,Y,11159,149
FL00138,6E826,DEL,NRT,New Delhi,Tokyo,Indira Gandhi Intl,Narita Intl,2026-05-25,04:45,10:15,5,30,First,F,145651,60
FL00139,UK383,DOH,JNB,Doha,Johannesburg,Hamad Intl,OR Tambo Intl,2026-07-15,01:15,05:00,3,45,First,F,164156,38
FL00140,SG835,AMD,KTM,Ahmedabad,Kathmandu,Sardar Vallabhbhai Patel Intl,Tribhuvan Intl,2026-07-30,03:00,04:00,1,0,First,F,110985,96
FL00141,G8125,CMB,BOM,Colombo,Mumbai,Bandaranaike Intl,Chhatrapati Shivaji Intl,2026-06-27,02:45,10:45,8,0,Business,J,85506,22
FL00142,6E561,COK,DOH,Kochi,Doha,Cochin Intl,Hamad Intl,2026-06-02,12:15,20:45,8,30,Business,J,38235,70
FL00143,6E172,NYC,HKG,New York,Hong Kong,John F Kennedy Intl,Hong Kong Intl,2026-07-25,19:45,05:30,9,45,Economy,Y,11002,40
FL00144,JA258,DEL,ICN,New Delhi,Seoul,Indira Gandhi Intl,Incheon Intl,2026-04-06,13:15,19:00,5,45,Premium Economy,W,22341,133
FL00145,6E932,BKK,AUH,Bangkok,Abu Dhabi,Suvarnabhumi,Abu Dhabi Intl,2026-03-27,16:15,01:15,9,0,First,F,165096,92
FL00146,6E348,YYZ,LHR,Toronto,London,Toronto Pearson,Heathrow,2026-03-13,14:30,16:45,2,15,First,F,120030,87
FL00147,9W659,BOM,LHR,Mumbai,London,Chhatrapati Shivaji Intl,Heathrow,2026-06-10,17:45,21:30,3,45,First,F,122924,82
FL00148,JA307,COK,BLR,Kochi,Bangalore,Cochin Intl,Kempegowda Intl,2026-05-18,12:15,20:15,8,0,Business,J,53158,25
FL00149,UK987,DXB,AMD,Dubai,Ahmedabad,Dubai Intl,Sardar Vallabhbhai Patel Intl,2026-03-09,08:15,19:45,11,30,Business,J,62693,74
FL00150,G8534,DOH,NYC,Doha,New York,Hamad Intl,John F Kennedy Intl,2026-06-05,00:15,03:45,3,30,Premium Economy,W,31590,65
FL00151,SG337,BOM,AUH,Mumbai,Abu Dhabi,Chhatrapati Shivaji Intl,Abu Dhabi Intl,2026-04-13,05:00,13:45,8,45,Premium Economy,W,22190,113
FL00152,9W938,NYC,PNQ,New York,Pune,John F Kennedy Intl,Pune Intl,2026-07-03,11:30,22:45,11,15,Premium Economy,W,32606,122
FL00153,JA447,HKG,KUL,Hong Kong,Kuala Lumpur,Hong Kong Intl,KLIA,2026-07-24,15:15,22:15,7,0,Economy,Y,5970,55
FL00154,SG325,LHR,NYC,London,New York,Heathrow,John F Kennedy Intl,2026-03-30,10:00,12:15,2,15,Economy,Y,6583,33
FL00155,6E197,YYZ,AMD,Toronto,Ahmedabad,Toronto Pearson,Sardar Vallabhbhai Patel Intl,2026-03-02,08:00,10:00,2,0,Premium Economy,W,34737,87
FL00156,G8130,BOM,DOH,Mumbai,Doha,Chhatrapati Shivaji Intl,Hamad Intl,2026-05-29,06:00,07:30,1,30,Premium Economy,W,27645,13
FL00157,9W606,AUH,COK,Abu Dhabi,Kochi,Abu Dhabi Intl,Cochin Intl,2026-06-15,02:15,14:00,11,45,Premium Economy,W,24561,41
FL00158,SG857,DXB,HKG,Dubai,Hong Kong,Dubai Intl,Hong Kong Intl,2026-06-08,20:30,23:15,2,45,First,F,95254,39
FL00159,UK987,MAA,KUL,Chennai,Kuala Lumpur,Chennai Intl,KLIA,2026-07-01,08:30,20:45,12,15,Premium Economy,W,23408,133
FL00160,G8701,HKG,COK,Hong Kong,Kochi,Hong Kong Intl,Cochin Intl,2026-05-10,02:15,03:45,1,30,Business,J,50667,76
FL00161,6E510,DXB,HKG,Dubai,Hong Kong,Dubai Intl,Hong Kong Intl,2026-03-25,09:30,00:00,14,30,First,F,143412,57
FL00162,UK424,CCU,DXB,Kolkata,Dubai,Netaji Subhas Intl,Dubai Intl,2026-03-28,00:45,04:00,3,15,Premium Economy,W,20170,115
FL00163,G8507,NRT,HYD,Tokyo,Hyderabad,Narita Intl,Rajiv Gandhi Intl,2026-04-24,03:30,13:15,9,45,Economy,Y,9978,37
FL00164,SG925,LHR,HYD,London,Hyderabad,Heathrow,Rajiv Gandhi Intl,2026-03-20,13:00,18:15,5,15,Premium Economy,W,16697,109
FL00165,6E455,JNB,CDG,Johannesburg,Paris,OR Tambo Intl,Charles de Gaulle,2026-07-30,19:00,08:30,13,30,Premium Economy,W,30749,110
FL00166,SG631,SYD,DAC,Sydney,Dhaka,Kingsford Smith,Hazrat Shahjalal Intl,2026-04-19,14:15,22:15,8,0,First,F,112550,59
FL00167,9W665,LHR,HYD,London,Hyderabad,Heathrow,Rajiv Gandhi Intl,2026-05-20,15:00,01:15,10,15,Business,J,56194,85
FL00168,G8180,SYD,SIN,Sydney,Singapore,Kingsford Smith,Changi,2026-03-11,19:00,01:30,6,30,Business,J,86630,104
FL00169,SG800,KTM,HKG,Kathmandu,Hong Kong,Tribhuvan Intl,Hong Kong Intl,2026-03-08,15:15,20:30,5,15,Business,J,37321,144
FL00170,UK895,PEK,BOM,Beijing,Mumbai,Beijing Capital,Chhatrapati Shivaji Intl,2026-03-19,06:00,18:00,12,0,First,F,163446,102
FL00171,9W332,DOH,PNQ,Doha,Pune,Hamad Intl,Pune Intl,2026-04-15,14:00,16:00,2,0,Business,J,40754,146
FL00172,UK136,KUL,SYD,Kuala Lumpur,Sydney,KLIA,Kingsford Smith,2026-05-07,08:30,16:30,8,0,Premium Economy,W,32687,20
FL00173,G8833,AUH,NRT,Abu Dhabi,Tokyo,Abu Dhabi Intl,Narita Intl,2026-08-06,10:15,21:15,11,0,Business,J,73791,57
FL00174,G8459,YYZ,DOH,Toronto,Doha,Toronto Pearson,Hamad Intl,2026-02-27,12:30,01:30,13,0,Business,J,74832,60
FL00175,UK835,BKK,JNB,Bangkok,Johannesburg,Suvarnabhumi,OR Tambo Intl,2026-06-28,19:45,08:00,12,15,Premium Economy,W,29458,132
FL00176,9W787,HYD,DOH,Hyderabad,Doha,Rajiv Gandhi Intl,Hamad Intl,2026-06-21,10:00,00:15,14,15,First,F,151288,120
